country,code,time,total_shares,float_shares,total_market_cap,float_market_cap,adj_factor,turnover_rate
US,AVGO,2016-06-13,3.96,3.96,633.6,633.6,0.0774848925,0.005446464646464646
US,AVGO,2016-06-14,3.96,3.96,629.64,629.64,0.0774848925,0.006482070707070707
US,AVGO,2016-06-15,3.96,3.96,627.264,627.264,0.0777293244,0.007798997474747475
US,AVGO,2016-06-16,3.96,3.96,628.056,628.056,0.0777293244,0.005759631313131313
US,AVGO,2016-06-17,3.96,3.96,617.76,617.76,0.0777293244,0.010942676767676768
US,AVGO,2016-06-20,3.96,3.96,621.324,621.324,0.0777293244,0.005117424242424243
US,AVGO,2016-06-21,3.96,3.96,616.968,616.968,0.0777293244,0.004072318181818182
US,AVGO,2016-06-22,3.96,3.96,614.196,614.196,0.0777293244,0.0040503459595959595
US,AVGO,2016-06-23,3.96,3.96,628.056,628.056,0.0777293244,0.006170527777777777
US,AVGO,2016-06-24,3.96,3.96,588.852,588.852,0.0777293244,0.016206371212121214
US,AVGO,2016-06-27,3.96,3.96,568.656,568.656,0.0777293244,0.009591651515151515
US,AVGO,2016-06-28,3.96,3.96,593.208,593.208,0.0777293244,0.009402272727272728
US,AVGO,2016-06-29,3.96,3.96,613.8,613.8,0.0777293244,0.012087378787878788
US,AVGO,2016-06-30,3.96,3.96,615.384,615.384,0.0777293244,0.01076425505050505
US,AVGO,2016-07-01,3.96,3.96,610.632,610.632,0.0777293244,0.004994765151515151
US,AVGO,2016-07-05,3.96,3.96,597.168,597.168,0.0777293244,0.006646717171717172
US,AVGO,2016-07-06,3.96,3.96,596.376,596.376,0.0777293244,0.005202845959595959
US,AVGO,2016-07-07,3.96,3.96,597.96,597.96,0.0777293244,0.0048606641414141415
US,AVGO,2016-07-08,3.96,3.96,614.196,614.196,0.0777293244,0.006752777777777778
US,AVGO,2016-07-11,3.96,3.96,623.304,623.304,0.0777293244,0.0063638888888888885
US,AVGO,2016-07-12,3.96,3.96,628.056,628.056,0.0777293244,0.0051335656565656565
US,AVGO,2016-07-13,3.96,3.96,623.304,623.304,0.0777293244,0.003973325757575758
US,AVGO,2016-07-14,3.96,3.96,636.768,636.768,0.0777293244,0.0059470883838383835
US,AVGO,2016-07-15,3.96,3.96,638.352,638.352,0.0777293244,0.004863494949494949
US,AVGO,2016-07-18,3.96,3.96,642.708,642.708,0.0777293244,0.0036934343434343432
US,AVGO,2016-07-19,3.96,3.96,635.58,635.58,0.0777293244,0.0037366439393939394
US,AVGO,2016-07-20,3.96,3.96,644.292,644.292,0.0777293244,0.0045616161616161615
US,AVGO,2016-07-21,3.96,3.96,635.184,635.184,0.0777293244,0.004931818181818182
US,AVGO,2016-07-22,3.96,3.96,632.412,632.412,0.0777293244,0.004965656565656566
US,AVGO,2016-07-25,3.96,3.96,632.808,632.808,0.0777293244,0.002431060606060606
US,AVGO,2016-07-26,3.96,3.96,647.064,647.064,0.0777293244,0.007230068181818182
US,AVGO,2016-07-27,3.96,3.96,656.172,656.172,0.0777293244,0.007700252525252525
US,AVGO,2016-07-28,3.96,3.96,650.232,650.232,0.0777293244,0.004927340909090909
US,AVGO,2016-07-29,3.96,3.96,641.52,641.52,0.0777293244,0.006573232323232323
US,AVGO,2016-08-01,3.98,3.98,650.73,650.73,0.0777293244,0.0044915301507537685
US,AVGO,2016-08-02,3.98,3.98,648.342,648.342,0.0777293244,0.005700871859296483
US,AVGO,2016-08-03,3.98,3.98,653.118,653.118,0.0777293244,0.003773638190954774
US,AVGO,2016-08-04,3.98,3.98,664.66,664.66,0.0777293244,0.0050196884422110555
US,AVGO,2016-08-05,3.98,3.98,676.998,676.998,0.0777293244,0.006430653266331659
US,AVGO,2016-08-08,3.98,3.98,670.232,670.232,0.0777293244,0.004795052763819096
US,AVGO,2016-08-09,3.98,3.98,681.376,681.376,0.0777293244,0.008227718592964823
US,AVGO,2016-08-10,3.98,3.98,683.764,683.764,0.0777293244,0.0049052763819095475
US,AVGO,2016-08-11,3.98,3.98,684.958,684.958,0.0777293244,0.0039561482412060305
US,AVGO,2016-08-12,3.98,3.98,686.55,686.55,0.0777293244,0.004153266331658291
US,AVGO,2016-08-15,3.98,3.98,698.49,698.49,0.0777293244,0.006484188442211055
US,AVGO,2016-08-16,3.98,3.98,686.152,686.152,0.0777293244,0.004791522613065326
US,AVGO,2016-08-17,3.98,3.98,688.54,688.54,0.0777293244,0.004174922110552764
US,AVGO,2016-08-18,3.98,3.98,692.122,692.122,0.0777293244,0.0053065954773869346
US,AVGO,2016-08-19,3.98,3.98,696.102,696.102,0.0777293244,0.003856532663316583
US,AVGO,2016-08-22,3.98,3.98,700.082,700.082,0.0777293244,0.0038688341708542715
US,AVGO,2016-08-23,3.98,3.98,705.654,705.654,0.0777293244,0.004960077889447237
US,AVGO,2016-08-24,3.98,3.98,697.694,697.694,0.0777293244,0.0054786256281407035
US,AVGO,2016-08-25,3.98,3.98,700.48,700.48,0.0777293244,0.004707286432160804
US,AVGO,2016-08-26,3.98,3.98,705.256,705.256,0.0777293244,0.005674874371859297
US,AVGO,2016-08-29,3.98,3.98,706.052,706.052,0.0777293244,0.004202522613065327
US,AVGO,2016-08-30,3.98,3.98,704.46,704.46,0.0777293244,0.006994472361809045
US,AVGO,2016-08-31,3.98,3.98,702.072,702.072,0.0777293244,0.008229396984924623
US,AVGO,2016-09-01,3.98,3.98,704.858,704.858,0.0777293244,0.009831155778894473
US,AVGO,2016-09-02,3.98,3.98,688.938,688.938,0.0777293244,0.020268361809045225
US,AVGO,2016-09-06,3.98,3.98,680.978,680.978,0.0777293244,0.009078391959798995
US,AVGO,2016-09-07,3.98,3.98,672.222,672.222,0.0777293244,0.007898819095477388
US,AVGO,2016-09-08,3.98,3.98,670.232,670.232,0.0777293244,0.004693497487437186
US,AVGO,2016-09-09,3.98,3.98,639.984,639.984,0.0777293244,0.011312165829145729
US,AVGO,2016-09-12,3.98,3.98,654.71,654.71,0.0777293244,0.008963113065326633
US,AVGO,2016-09-13,3.98,3.98,657.496,657.496,0.0777293244,0.009045979899497488
US,AVGO,2016-09-14,3.98,3.98,675.008,675.008,0.0777293244,0.010140233668341709
US,AVGO,2016-09-15,3.98,3.98,687.346,687.346,0.0779637673,0.009128268844221106
US,AVGO,2016-09-16,3.98,3.98,681.376,681.376,0.0779637673,0.02087110552763819
US,AVGO,2016-09-19,3.98,3.98,679.386,679.386,0.0779637673,0.007112128140703518
US,AVGO,2016-09-20,3.98,3.98,669.436,669.436,0.0779637673,0.004705346733668341
US,AVGO,2016-09-21,3.98,3.98,675.804,675.804,0.0779637673,0.004516884422110553
US,AVGO,2016-09-22,3.98,3.98,671.824,671.824,0.0779637673,0.0051807487437185926
US,AVGO,2016-09-23,3.98,3.98,663.466,663.466,0.0779637673,0.00675251256281407
US,AVGO,2016-09-26,3.98,3.98,663.466,663.466,0.0779637673,0.008048849246231156
US,AVGO,2016-09-27,3.98,3.98,680.182,680.182,0.0779637673,0.006370145728643216
US,AVGO,2016-09-28,3.98,3.98,679.386,679.386,0.0779637673,0.005236934673366834
US,AVGO,2016-09-29,3.98,3.98,686.55,686.55,0.0779637673,0.00969101256281407
US,AVGO,2016-09-30,3.98,3.98,686.55,686.55,0.0779637673,0.008597989949748744
US,AVGO,2016-10-03,3.98,3.98,676.998,676.998,0.0779637673,0.005730402010050251
US,AVGO,2016-10-04,3.98,3.98,673.018,673.018,0.0779637673,0.004923683417085427
US,AVGO,2016-10-05,3.98,3.98,690.53,690.53,0.0779637673,0.0065701005025125625
US,AVGO,2016-10-06,3.98,3.98,693.316,693.316,0.0779637673,0.005279899497487437
US,AVGO,2016-10-07,3.98,3.98,693.316,693.316,0.0779637673,0.005488625628140703
US,AVGO,2016-10-10,3.98,3.98,695.704,695.704,0.0779637673,0.004104628140703517
US,AVGO,2016-10-11,3.98,3.98,681.376,681.376,0.0779637673,0.006578221105527638
US,AVGO,2016-10-12,3.98,3.98,678.59,678.59,0.0779637673,0.0054624095477386935
US,AVGO,2016-10-13,3.98,3.98,672.222,672.222,0.0779637673,0.005621786432160804
US,AVGO,2016-10-14,3.98,3.98,676.998,676.998,0.0779637673,0.0049171934673366835
US,AVGO,2016-10-17,3.98,3.98,672.222,672.222,0.0779637673,0.0032013492462311557
US,AVGO,2016-10-18,3.98,3.98,685.356,685.356,0.0779637673,0.0035595477386934672
US,AVGO,2016-10-19,3.98,3.98,684.162,684.162,0.0779637673,0.005135866834170854
US,AVGO,2016-10-20,3.98,3.98,690.132,690.132,0.0779637673,0.004764143216080402
US,AVGO,2016-10-21,3.98,3.98,688.142,688.142,0.0779637673,0.003980417085427136
US,AVGO,2016-10-24,3.98,3.98,702.868,702.868,0.0779637673,0.0049678391959799
US,AVGO,2016-10-25,3.98,3.98,690.928,690.928,0.0779637673,0.005432663316582914
US,AVGO,2016-10-26,3.98,3.98,688.54,688.54,0.0779637673,0.005295226130653266
US,AVGO,2016-10-27,3.98,3.98,685.356,685.356,0.0779637673,0.004984954773869347
US,AVGO,2016-10-28,3.98,3.98,673.814,673.814,0.0779637673,0.005188786432160804
US,AVGO,2016-10-31,3.98,3.98,677.794,677.794,0.0779637673,0.0051047738693467334
US,AVGO,2016-11-01,3.99,3.99,673.512,673.512,0.0779637673,0.007130974937343358
US,AVGO,2016-11-02,3.99,3.99,688.674,688.674,0.0779637673,0.010902571428571428
US,AVGO,2016-11-03,3.99,3.99,690.27,690.27,0.0779637673,0.0051779899749373436
US,AVGO,2016-11-04,3.99,3.99,687.078,687.078,0.0779637673,0.005451954887218045
US,AVGO,2016-11-07,3.99,3.99,706.23,706.23,0.0779637673,0.006547919799498747
US,AVGO,2016-11-08,3.99,3.99,706.23,706.23,0.0779637673,0.004743288220551378
US,AVGO,2016-11-09,3.99,3.99,691.866,691.866,0.0779637673,0.008146932330827068
US,AVGO,2016-11-10,3.99,3.99,669.921,669.921,0.0779637673,0.012837
US,AVGO,2016-11-11,3.99,3.99,668.325,668.325,0.0779637673,0.007468150375939849
US,AVGO,2016-11-14,3.99,3.99,653.562,653.562,0.0779637673,0.007065832080200501
US,AVGO,2016-11-15,3.99,3.99,664.335,664.335,0.0779637673,0.0063609022556390974
US,AVGO,2016-11-16,3.99,3.99,669.522,669.522,0.0779637673,0.0033416616541353385
US,AVGO,2016-11-17,3.99,3.99,666.33,666.33,0.0779637673,0.004536340852130326
US,AVGO,2016-11-18,3.99,3.99,671.118,671.118,0.0779637673,0.004893275689223058
US,AVGO,2016-11-21,3.99,3.99,688.674,688.674,0.0779637673,0.005359398496240601
US,AVGO,2016-11-22,3.99,3.99,706.23,706.23,0.0779637673,0.007775438596491228
US,AVGO,2016-11-23,3.99,3.99,706.629,706.629,0.0779637673,0.005544639097744361
US,AVGO,2016-11-25,3.99,3.99,705.432,705.432,0.0779637673,0.0020546917293233083
US,AVGO,2016-11-28,3.99,3.99,697.053,697.053,0.0779637673,0.006659175438596491
US,AVGO,2016-11-29,3.99,3.99,700.245,700.245,0.0779637673,0.004640100250626567
US,AVGO,2016-11-30,3.99,3.99,680.295,680.295,0.0779637673,0.007831829573934837
US,AVGO,2016-12-01,3.99,3.99,649.572,649.572,0.0779637673,0.011626368421052632
US,AVGO,2016-12-02,3.99,3.99,655.158,655.158,0.0779637673,0.0067531328320802
US,AVGO,2016-12-05,3.99,3.99,662.739,662.739,0.0779637673,0.005356390977443609
US,AVGO,2016-12-06,3.99,3.99,657.552,657.552,0.0779637673,0.00982064411027569
US,AVGO,2016-12-07,3.99,3.99,672.714,672.714,0.0779637673,0.008185213032581453
US,AVGO,2016-12-08,3.99,3.99,681.093,681.093,0.0779637673,0.009614395989974937
US,AVGO,2016-12-09,3.99,3.99,714.609,714.609,0.0779637673,0.01898345864661654
US,AVGO,2016-12-12,3.99,3.99,711.018,711.018,0.0779637673,0.00932181954887218
US,AVGO,2016-12-13,3.99,3.99,715.806,715.806,0.0779637673,0.017312280701754387
US,AVGO,2016-12-14,3.99,3.99,708.624,708.624,0.0784095742,0.011728187969924812
US,AVGO,2016-12-15,3.99,3.99,718.2,718.2,0.0784095742,0.009550654135338345
US,AVGO,2016-12-16,3.99,3.99,711.816,711.816,0.0784095742,0.010411280701754386
US,AVGO,2016-12-19,3.99,3.99,720.195,720.195,0.0784095742,0.005568774436090226
US,AVGO,2016-12-20,3.99,3.99,726.579,726.579,0.0784095742,0.006855137844611529
US,AVGO,2016-12-21,3.99,3.99,727.377,727.377,0.0784095742,0.005266416040100251
US,AVGO,2016-12-22,3.99,3.99,720.594,720.594,0.0784095742,0.004401075187969925
US,AVGO,2016-12-23,3.99,3.99,725.781,725.781,0.0784095742,0.002249874686716792
US,AVGO,2016-12-27,3.99,3.99,727.377,727.377,0.0784095742,0.0020760802005012533
US,AVGO,2016-12-28,3.99,3.99,718.998,718.998,0.0784095742,0.0035185463659147868
US,AVGO,2016-12-29,3.99,3.99,717.801,717.801,0.0784095742,0.003426315789473684
US,AVGO,2016-12-30,3.99,3.99,705.432,705.432,0.0784095742,0.006371894736842105
US,AVGO,2017-01-03,3.99,3.99,711.417,711.417,0.0784095742,0.00804464411027569
US,AVGO,2017-01-04,3.99,3.99,706.629,706.629,0.0784095742,0.006006265664160401
US,AVGO,2017-01-05,3.99,3.99,695.457,695.457,0.0784095742,0.006230827067669173
US,AVGO,2017-01-06,3.99,3.99,704.634,704.634,0.0784095742,0.0058002606516290725
US,AVGO,2017-01-09,3.99,3.99,706.23,706.23,0.0784095742,0.005079170426065163
US,AVGO,2017-01-10,3.99,3.99,720.594,720.594,0.0784095742,0.007564729323308271
US,AVGO,2017-01-11,3.99,3.99,715.806,715.806,0.0784095742,0.004708533834586466
US,AVGO,2017-01-12,3.99,3.99,713.811,713.811,0.0784095742,0.005798839598997494
US,AVGO,2017-01-13,3.99,3.99,720.195,720.195,0.0784095742,0.005239842105263158
US,AVGO,2017-01-17,3.99,3.99,714.609,714.609,0.0784095742,0.006595503759398496
US,AVGO,2017-01-18,3.99,3.99,738.15,738.15,0.0784095742,0.0089328320802005
US,AVGO,2017-01-19,3.99,3.99,740.544,740.544,0.0784095742,0.011458177944862155
US,AVGO,2017-01-20,3.99,3.99,762.489,762.489,0.0784095742,0.014441942355889725
US,AVGO,2017-01-23,3.99,3.99,762.09,762.09,0.0784095742,0.008369513784461153
US,AVGO,2017-01-24,3.99,3.99,788.823,788.823,0.0784095742,0.015540852130325815
US,AVGO,2017-01-25,3.99,3.99,807.975,807.975,0.0784095742,0.01526380701754386
US,AVGO,2017-01-26,3.99,3.99,814.758,814.758,0.0784095742,0.009731027568922307
US,AVGO,2017-01-27,3.99,3.99,820.743,820.743,0.0784095742,0.006462789473684211
US,AVGO,2017-01-30,3.99,3.99,810.768,810.768,0.0784095742,0.008329338345864662
US,AVGO,2017-01-31,3.99,3.99,796.005,796.005,0.0784095742,0.006704112781954887
US,AVGO,2017-02-01,4.03,4.03,820.911,820.911,0.0784095742,0.0077379652605459055
US,AVGO,2017-02-02,4.03,4.03,822.523,822.523,0.0784095742,0.005635732009925559
US,AVGO,2017-02-03,4.03,4.03,830.986,830.986,0.0784095742,0.006047933002481389
US,AVGO,2017-02-06,4.03,4.03,832.598,832.598,0.0784095742,0.004644186104218362
US,AVGO,2017-02-07,4.03,4.03,829.777,829.777,0.0784095742,0.005667545905707196
US,AVGO,2017-02-08,4.03,4.03,833.807,833.807,0.0784095742,0.005228039702233251
US,AVGO,2017-02-09,4.03,4.03,827.359,827.359,0.0784095742,0.00682859553349876
US,AVGO,2017-02-10,4.03,4.03,828.165,828.165,0.0784095742,0.005916143920595533
US,AVGO,2017-02-13,4.03,4.03,833.001,833.001,0.0784095742,0.0030926575682382134
US,AVGO,2017-02-14,4.03,4.03,827.359,827.359,0.0784095742,0.004307146401985111
US,AVGO,2017-02-15,4.03,4.03,830.18,830.18,0.0784095742,0.004240198511166253
US,AVGO,2017-02-16,4.03,4.03,839.046,839.046,0.0784095742,0.004265012406947891
US,AVGO,2017-02-17,4.03,4.03,847.912,847.912,0.0784095742,0.0076787196029776674
US,AVGO,2017-02-21,4.03,4.03,857.584,857.584,0.0784095742,0.007526833746898263
US,AVGO,2017-02-22,4.03,4.03,863.226,863.226,0.0784095742,0.005942679900744417
US,AVGO,2017-02-23,4.03,4.03,848.718,848.718,0.0784095742,0.007286352357320099
US,AVGO,2017-02-24,4.03,4.03,847.912,847.912,0.0784095742,0.006861290322580645
US,AVGO,2017-02-27,4.03,4.03,859.599,859.599,0.0784095742,0.006697523573200992
US,AVGO,2017-02-28,4.03,4.03,849.927,849.927,0.0784095742,0.006835732009925558
US,AVGO,2017-03-01,4.03,4.03,866.853,866.853,0.0784095742,0.012693548387096774
US,AVGO,2017-03-02,4.03,4.03,875.719,875.719,0.0784095742,0.017660327543424316
US,AVGO,2017-03-03,4.03,4.03,879.749,879.749,0.0784095742,0.007635426799007444
US,AVGO,2017-03-06,4.03,4.03,878.137,878.137,0.0784095742,0.005650424317617866
US,AVGO,2017-03-07,4.03,4.03,883.779,883.779,0.0784095742,0.007228086848635236
US,AVGO,2017-03-08,4.03,4.03,884.988,884.988,0.0784095742,0.006090235732009925
US,AVGO,2017-03-09,4.03,4.03,894.66,894.66,0.0784095742,0.006371022332506204
US,AVGO,2017-03-10,4.03,4.03,912.392,912.392,0.0784095742,0.009784225806451613
US,AVGO,2017-03-13,4.03,4.03,912.795,912.795,0.0784095742,0.006617627791563275
US,AVGO,2017-03-14,4.03,4.03,904.332,904.332,0.0784095742,0.005500545905707196
US,AVGO,2017-03-15,4.03,4.03,910.377,910.377,0.0784095742,0.00514317617866005
US,AVGO,2017-03-16,4.03,4.03,896.272,896.272,0.0787652207,0.006906947890818859
US,AVGO,2017-03-17,4.03,4.03,891.436,891.436,0.0787652207,0.012812655086848635
US,AVGO,2017-03-20,4.03,4.03,891.436,891.436,0.0787652207,0.004271712158808933
US,AVGO,2017-03-21,4.03,4.03,870.48,870.48,0.0787652207,0.00758244665012407
US,AVGO,2017-03-22,4.03,4.03,876.122,876.122,0.0787652207,0.004747146401985112
US,AVGO,2017-03-23,4.03,4.03,874.107,874.107,0.0787652207,0.004769975186104218
US,AVGO,2017-03-24,4.03,4.03,882.57,882.57,0.0787652207,0.005904218362282878
US,AVGO,2017-03-27,4.03,4.03,882.973,882.973,0.0787652207,0.0038109181141439204
US,AVGO,2017-03-28,4.03,4.03,890.63,890.63,0.0787652207,0.004448883374689826
US,AVGO,2017-03-29,4.03,4.03,891.839,891.839,0.0787652207,0.003952109181141439
US,AVGO,2017-03-30,4.03,4.03,886.6,886.6,0.0787652207,0.008478511166253101
US,AVGO,2017-03-31,4.03,4.03,882.57,882.57,0.0787652207,0.0064260545905707196
US,AVGO,2017-04-03,4.03,4.03,881.764,881.764,0.0787652207,0.004766791563275434
US,AVGO,2017-04-04,4.03,4.03,882.57,882.57,0.0787652207,0.0031349875930521093
US,AVGO,2017-04-05,4.03,4.03,874.913,874.913,0.0787652207,0.003893300248138958
US,AVGO,2017-04-06,4.03,4.03,876.525,876.525,0.0787652207,0.003626625310173697
US,AVGO,2017-04-07,4.03,4.03,879.749,879.749,0.0787652207,0.0040739354838709675
US,AVGO,2017-04-10,4.03,4.03,878.54,878.54,0.0787652207,0.0044650545905707195
US,AVGO,2017-04-11,4.03,4.03,876.928,876.928,0.0787652207,0.0055133995037220844
US,AVGO,2017-04-12,4.03,4.03,843.076,843.076,0.0787652207,0.015142928039702233
US,AVGO,2017-04-13,4.03,4.03,851.539,851.539,0.0787652207,0.010565615384615385
US,AVGO,2017-04-17,4.03,4.03,862.017,862.017,0.0787652207,0.0035998263027295285
US,AVGO,2017-04-18,4.03,4.03,858.793,858.793,0.0787652207,0.0021057071960297767
US,AVGO,2017-04-19,4.03,4.03,860.808,860.808,0.0787652207,0.002997880893300248
US,AVGO,2017-04-20,4.03,4.03,879.346,879.346,0.0787652207,0.004197518610421836
US,AVGO,2017-04-21,4.03,4.03,877.331,877.331,0.0787652207,0.0036435285359801488
US,AVGO,2017-04-24,4.03,4.03,891.436,891.436,0.0787652207,0.004352143920595533
US,AVGO,2017-04-25,4.03,4.03,899.496,899.496,0.0787652207,0.003684367245657568
US,AVGO,2017-04-26,4.03,4.03,893.451,893.451,0.0787652207,0.0036541563275434242
US,AVGO,2017-04-27,4.03,4.03,899.093,899.093,0.0787652207,0.0029404466501240694
US,AVGO,2017-04-28,4.03,4.03,889.824,889.824,0.0787652207,0.00409181141439206
US,AVGO,2017-05-01,4.07,4.07,900.691,900.691,0.0787652207,0.0037687960687960687
US,AVGO,2017-05-02,4.07,4.07,917.785,917.785,0.0787652207,0.006701965601965602
US,AVGO,2017-05-03,4.07,4.07,915.343,915.343,0.0787652207,0.004423095823095823
US,AVGO,2017-05-04,4.07,4.07,909.238,909.238,0.0787652207,0.003992520884520885
US,AVGO,2017-05-05,4.07,4.07,921.855,921.855,0.0787652207,0.005682555282555283
US,AVGO,2017-05-08,4.07,4.07,916.157,916.157,0.0787652207,0.004286995085995086
US,AVGO,2017-05-09,4.07,4.07,929.995,929.995,0.0787652207,0.004732432432432433
US,AVGO,2017-05-10,4.07,4.07,941.391,941.391,0.0787652207,0.006003223587223587
US,AVGO,2017-05-11,4.07,4.07,940.577,940.577,0.0787652207,0.0036421302211302213
US,AVGO,2017-05-12,4.07,4.07,960.52,960.52,0.0787652207,0.006351842751842752
US,AVGO,2017-05-15,4.07,4.07,972.73,972.73,0.0787652207,0.0071676068796068795
US,AVGO,2017-05-16,4.07,4.07,979.649,979.649,0.0787652207,0.004454144963144963
US,AVGO,2017-05-17,4.07,4.07,940.984,940.984,0.0787652207,0.007726574938574938
US,AVGO,2017-05-18,4.07,4.07,967.439,967.439,0.0787652207,0.007542815724815724
US,AVGO,2017-05-19,4.07,4.07,952.787,952.787,0.0787652207,0.0087990171990172
US,AVGO,2017-05-22,4.07,4.07,970.288,970.288,0.0787652207,0.005016955773955774
US,AVGO,2017-05-23,4.07,4.07,962.555,962.555,0.0787652207,0.0033651105651105653
US,AVGO,2017-05-24,4.07,4.07,975.172,975.172,0.0787652207,0.0040459312039312035
US,AVGO,2017-05-25,4.07,4.07,980.463,980.463,0.0787652207,0.004670815724815725
US,AVGO,2017-05-26,4.07,4.07,981.684,981.684,0.0787652207,0.0032236977886977887
US,AVGO,2017-05-30,4.07,4.07,975.986,975.986,0.0787652207,0.007214742014742015
US,AVGO,2017-05-31,4.07,4.07,974.765,974.765,0.0787652207,0.011014742014742014
US,AVGO,2017-06-01,4.07,4.07,954.822,954.822,0.0787652207,0.015669343980343982
US,AVGO,2017-06-02,4.07,4.07,1035.815,1035.815,0.0787652207,0.026686240786240788
US,AVGO,2017-06-05,4.07,4.07,1026.454,1026.454,0.0787652207,0.009713022113022112
US,AVGO,2017-06-06,4.07,4.07,1033.373,1033.373,0.0787652207,0.007285749385749386
US,AVGO,2017-06-07,4.07,4.07,1035.001,1035.001,0.0787652207,0.007196560196560196
US,AVGO,2017-06-08,4.07,4.07,1037.85,1037.85,0.0787652207,0.006946683046683047
US,AVGO,2017-06-09,4.07,4.07,990.231,990.231,0.0787652207,0.014297646191646191
US,AVGO,2017-06-12,4.07,4.07,987.789,987.789,0.0787652207,0.01348214004914005
US,AVGO,2017-06-13,4.07,4.07,988.603,988.603,0.0787652207,0.0075805896805896805
US,AVGO,2017-06-14,4.07,4.07,978.835,978.835,0.0787652207,0.00847886977886978
US,AVGO,2017-06-15,4.07,4.07,968.66,968.66,0.0791006997,0.006763452088452088
US,AVGO,2017-06-16,4.07,4.07,961.741,961.741,0.0791006997,0.008800815724815725
US,AVGO,2017-06-19,4.07,4.07,981.684,981.684,0.0791006997,0.007007174447174447
US,AVGO,2017-06-20,4.07,4.07,976.8,976.8,0.0791006997,0.006002294840294841
US,AVGO,2017-06-21,4.07,4.07,997.557,997.557,0.0791006997,0.008600061425061424
US,AVGO,2017-06-22,4.07,4.07,993.08,993.08,0.0791006997,0.0045863464373464375
US,AVGO,2017-06-23,4.07,4.07,998.371,998.371,0.0791006997,0.00859582800982801
US,AVGO,2017-06-26,4.07,4.07,988.196,988.196,0.0791006997,0.00788774692874693
US,AVGO,2017-06-27,4.07,4.07,957.671,957.671,0.0791006997,0.008251105651105652
US,AVGO,2017-06-28,4.07,4.07,981.277,981.277,0.0791006997,0.006027874692874693
US,AVGO,2017-06-29,4.07,4.07,952.38,952.38,0.0791006997,0.00847987714987715
US,AVGO,2017-06-30,4.07,4.07,948.717,948.717,0.0791006997,0.006519410319410319
US,AVGO,2017-07-03,4.07,4.07,935.286,935.286,0.0791006997,0.00519
US,AVGO,2017-07-05,4.07,4.07,942.612,942.612,0.0791006997,0.007297051597051597
US,AVGO,2017-07-06,4.07,4.07,956.45,956.45,0.0791006997,0.00647027027027027
US,AVGO,2017-07-07,4.07,4.07,975.172,975.172,0.0791006997,0.006076412776412777
US,AVGO,2017-07-10,4.07,4.07,984.126,984.126,0.0791006997,0.005528009828009828
US,AVGO,2017-07-11,4.07,4.07,980.463,980.463,0.0791006997,0.0050373464373464375
US,AVGO,2017-07-12,4.07,4.07,1002.848,1002.848,0.0791006997,0.006808469287469287
US,AVGO,2017-07-13,4.07,4.07,1006.511,1006.511,0.0791006997,0.005012402948402948
US,AVGO,2017-07-14,4.07,4.07,1018.721,1018.721,0.0791006997,0.0035423095823095825
US,AVGO,2017-07-17,4.07,4.07,1013.43,1013.43,0.0791006997,0.004605896805896806
US,AVGO,2017-07-18,4.07,4.07,1021.163,1021.163,0.0791006997,0.0031949312039312038
US,AVGO,2017-07-19,4.07,4.07,1035.408,1035.408,0.0791006997,0.006271857493857494
US,AVGO,2017-07-20,4.07,4.07,1031.338,1031.338,0.0791006997,0.0029816805896805895
US,AVGO,2017-07-21,4.07,4.07,1030.117,1030.117,0.0791006997,0.0038093366093366094
US,AVGO,2017-07-24,4.07,4.07,1029.71,1029.71,0.0791006997,0.003350948402948403
US,AVGO,2017-07-25,4.07,4.07,1035.001,1035.001,0.0791006997,0.003961481572481573
US,AVGO,2017-07-26,4.07,4.07,1045.99,1045.99,0.0791006997,0.004906977886977887
US,AVGO,2017-07-27,4.07,4.07,1021.57,1021.57,0.0791006997,0.007864864864864865
US,AVGO,2017-07-28,4.07,4.07,1019.128,1019.128,0.0791006997,0.007842506142506143
US,AVGO,2017-07-31,4.07,4.07,1004.069,1004.069,0.0791006997,0.004666137592137592
US,AVGO,2017-08-01,4.08,4.08,1013.472,1013.472,0.0791006997,0.004309313725490196
US,AVGO,2017-08-02,4.08,4.08,1033.872,1033.872,0.0791006997,0.00906131862745098
US,AVGO,2017-08-03,4.08,4.08,1021.224,1021.224,0.0791006997,0.0057468137254901965
US,AVGO,2017-08-04,4.08,4.08,1016.736,1016.736,0.0791006997,0.003297605392156863
US,AVGO,2017-08-07,4.08,4.08,1029.792,1029.792,0.0791006997,0.004590745098039216
US,AVGO,2017-08-08,4.08,4.08,1025.712,1025.712,0.0791006997,0.005009561274509804
US,AVGO,2017-08-09,4.08,4.08,1016.736,1016.736,0.0791006997,0.005209825980392157
US,AVGO,2017-08-10,4.08,4.08,982.056,982.056,0.0791006997,0.007116041666666666
US,AVGO,2017-08-11,4.08,4.08,996.336,996.336,0.0791006997,0.004160813725490196
US,AVGO,2017-08-14,4.08,4.08,1023.672,1023.672,0.0791006997,0.004102267156862745
US,AVGO,2017-08-15,4.08,4.08,1035.096,1035.096,0.0791006997,0.005132843137254902
US,AVGO,2017-08-16,4.08,4.08,1033.872,1033.872,0.0791006997,0.0037730392156862746
US,AVGO,2017-08-17,4.08,4.08,1007.76,1007.76,0.0791006997,0.005586519607843138
US,AVGO,2017-08-18,4.08,4.08,1017.552,1017.552,0.0791006997,0.004934245098039216
